microns throughput
2.0004663860000003 3.2798392342427347e-12
2.002074478 3.35293303642224e-12
2.00368257 3.744235549860544e-12
2.005290662 2.949192673125354e-12
2.006898754 2.5600978543511032e-12
2.008506846 2.5794120650800197e-12
2.010114938 2.487947736145584e-12
2.01172303 2.016885829281976e-12
2.013331122 1.6463650749644542e-12
2.014939214 1.3558669434078754e-12
2.016547306 1.293069875161001e-12
2.018155398 1.4999944266055362e-12
2.01976349 1.6096128203074337e-12
2.021371582 1.387589963838485e-12
2.022979674 1.31430730606984e-12
2.0245877660000002 1.389536364853789e-12
2.026195858 1.0915603878644705e-12
2.027803949 9.100804976684684e-13
2.029412041 9.903921024335611e-13
2.031020133 1.4575693724071742e-12
2.032628225 1.6734712653300525e-12
2.034236317 1.320076078214373e-12
2.035844409 9.918756027668494e-13
2.037452501 8.140418749041979e-13
2.039060593 7.950793042686138e-13
2.040668685 8.961394004416765e-13
2.042276777 9.877750824060086e-13
2.0438848689999998 1.088602299537764e-12
2.045492961 1.2060578103187154e-12
2.047101053 1.4259735407984302e-12
2.0487091449999997 1.2749745882069464e-12
2.0503172370000002 9.779031792594344e-13
2.0519253290000004 9.953466894196195e-13
2.053533421 1.4096440106189825e-12
2.055141513 8.566153586133629e-13
2.056749605 9.703454011050115e-13
2.058357697 1.0451090192788073e-12
2.059965788 1.0714612762104646e-12
2.06157388 1.1262801155516882e-12
2.0631819719999998 1.1100741802837875e-12
2.064790064 1.2895287093537149e-12
2.066398156 1.7548438844195156e-12
2.068006248 2.876553140903021e-12
2.06961434 3.718989939732043e-12
2.071222432 2.7916827267329697e-12
2.072830524 1.8251401621409537e-12
2.074438616 2.310478353825365e-12
2.076046708 3.852056137304098e-12
2.0776548 4.931631307023864e-12
2.079262892 4.534609595700042e-12
2.080870984 5.175849244188961e-12
2.0824790760000003 6.432845342145738e-12
2.084087168 9.39419315879592e-12
2.08569526 9.31366583621181e-12
2.0873033519999997 9.571540131013809e-12
2.088911444 1.0469788854214235e-11
2.090519536 1.2699135423358093e-11
2.092127627 1.4872398638108493e-11
2.0937357189999997 1.8312904871484182e-11
2.0953438110000002 1.5184166764097073e-11
2.0969519030000003 1.3008863881093103e-11
2.098559995 1.9255887801166406e-11
2.100168087 3.513440007305479e-11
2.101776179 3.698738633218393e-11
2.103384271 3.397086214581573e-11
2.104992363 3.1028370058107445e-11
2.1066004549999997 2.8849688535147512e-11
2.1082085470000003 2.9018176442506932e-11
2.109816639 3.627946107142793e-11
2.111424731 4.474839118479368e-11
2.113032823 4.13917024268932e-11
2.114640915 4.2663167020538834e-11
2.116249007 4.130615826645425e-11
2.1178570989999996 4.568782220048929e-11
2.1194651909999997 4.272083672751636e-11
2.1210732830000003 4.662904077242018e-11
2.122681375 5.672555495655798e-11
2.124289466 7.411526163455108e-11
2.125897558 6.460900031336563e-11
