# lambda(A)	T%
10174.00	92.9955022
10177.00	92.51774848
10180.00	92.3325026
10183.00	91.9327502
10186.00	91.25024736
10189.00	90.56775033
10192.00	89.67075258
10195.00	88.890751
10198.00	87.35025108
10201.00	85.72199821
10204.00	84.09375116
10207.00	82.68975064
10210.00	80.63250214
10213.00	78.28275159
10216.00	75.69900289
10219.00	73.125
10222.00	70.04400015
10225.00	66.79725185
10228.00	63.48224804
10231.00	60.38175076
10234.00	57.27150187
10237.00	54.15150136
10240.00	50.7975027
10243.00	47.93100066
10246.00	44.88899857
10249.00	41.82749905
10252.00	38.75625081
10255.00	35.92874944
10258.00	33.22799876
10261.00	30.76124914
10264.00	28.30425113
10267.00	26.1007487
10270.00	24.19949993
10273.00	22.22024985
10276.00	20.45550048
10279.00	18.70049983
10282.00	17.27700043
10285.00	15.81450038
10288.00	14.51775022
10291.00	13.40625029
10294.00	12.29475036
10297.00	11.30999967
10300.00	10.44225024
10303.00	9.610574674
10306.00	8.894924764
10309.00	8.1734249
10312.00	7.513349913
10315.00	6.934200134
10318.00	6.396974903
10321.00	5.931899948
10324.00	5.467799865
10327.00	5.023200111
10330.00	4.624425117
10333.00	4.25392502
10336.00	3.950700117
10339.00	3.64649998
10342.00	3.370575104
10345.00	3.131700056
10348.00	2.901599938
10351.00	2.690024916
10354.00	2.478450076
10357.00	2.281499938
10360.00	2.140125087
10363.00	1.946099927
10366.00	1.81057503
10369.00	1.673100027
10372.00	1.560000074
10375.00	1.490774956
10378.00	1.357199983
10381.00	1.270425003
10384.00	1.183650023
10387.00	1.094925029
10390.00	1.039350014
10393.00	0.945164978
10396.00	0.882179998
10399.00	0.818805015
10402.00	0.784679982
10405.00	0.710775009
10408.00	0.679672522
10411.00	0.641549982
10414.00	0.603427486
10417.00	0.578272522
10420.00	0.54131999
10423.00	0.488864999
10426.00	0.466147485
10429.00	0.443430017
10432.00	0.380834994
10435.00	0.37098751
10438.00	0.373230004
10441.00	0.348269996
10444.00	0.323212509
10447.00	0.319312502
