# z
7850	0
7860	0.01
7870	0.01
7880	0.01
7890	0.01
7900	0.01
7910	0.01
7920	0.01
7930	0.01
7940	0.02
7950	0.02
7960	0.03
7970	0.03
7980	0.04
7990	0.06
8000	0.07
8010	0.08
8020	0.1
8030	0.11
8040	0.12
8050	0.14
8060	0.15
8070	0.17
8080	0.19
8090	0.21
8100	0.25
8110	0.29
8120	0.36
8130	0.43
8140	0.55
8150	0.78
8160	1.04
8170	1.4
8180	1.91
8190	2.65
8200	3.72
8210	5.24
8220	7.31
8230	11.2
8240	15
8250	19.6
8260	25.21
8270	31.78
8280	38.94
8290	46.72
8300	54.81
8310	65.56
8320	73.09
8330	79.54
8340	84.7
8350	88.34
8360	90.51
8370	91.49
8380	91.71
8390	91.35
8400	91.11
8410	90.92
8420	90.87
8430	91.01
8440	91.32
8450	91.8
8460	92.42
8470	93.31
8480	93.86
8490	94
8500	94.61
8510	94.59
8520	94.57
8530	94.53
8540	94.39
8550	94.29
8560	94.19
8570	94.08
8580	93.92
8590	93.87
8600	93.85
8610	93.89
8620	93.95
8630	94.03
8640	94.28
8650	94.41
8660	94.56
8670	94.69
8680	94.9
8690	94.96
8700	94.98
8710	94.93
8720	94.87
8730	94.79
8740	94.6
8750	94.51
8760	94.44
8770	94.36
8780	94.35
8790	94.37
8800	94.38
8810	94.4
8820	94.4
8830	94.38
8840	94.35
8850	94.34
8860	94.34
8870	94.38
8880	94.43
8890	94.5
8900	94.58
8910	94.76
8920	94.85
8930	94.92
8940	95.01
8950	94.98
8960	94.91
8970	94.58
8980	94.36
8990	94.1
9000	93.83
9010	93.33
9020	93.16
9030	93.06
9040	93.07
9050	93.16
9060	93.26
9070	93.45
9080	93.49
9090	93.48
9100	93.42
9110	93.21
9120	93.1
9130	93.02
9140	92.95
9150	92.92
9160	92.88
9170	92.52
9180	92.09
9190	91.39
9200	90.3
9210	86.58
9220	83.82
9230	80.39
9240	71.47
9250	65.94
9260	59.88
9270	47.02
9280	40.68
9290	34.58
9300	23.56
9310	18.93
9320	15.02
9330	11.84
9340	7.24
9350	5.61
9360	4.33
9370	2.59
9380	2.02
9390	1.58
9400	0.96
9410	0.74
9420	0.57
9430	0.43
9440	0.24
9450	0.17
9460	0.11
9470	0
