#  Table f622w_sys.tab  Mon 11:02:31 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
         5002.189     7.627094E-8
         5009.631     6.347690E-8
         5017.084     6.080472E-8
         5024.548     6.791166E-8
         5032.026     7.831174E-8
         5039.515     5.872233E-8
          5047.01     8.150941E-8
         5054.521     6.544417E-8
         5062.041     7.876270E-8
         5069.575     6.985783E-8
          5077.12     6.066077E-8
          5084.67     6.279943E-8
         5092.238     7.641024E-8
         5099.814     8.292284E-8
         5107.401     7.655669E-8
         5115.002     9.027875E-8
         5122.609     9.196622E-8
         5130.233     9.339654E-8
         5137.869     9.553963E-8
         5145.513     8.740409E-8
          5153.17     9.330871E-8
         5160.834     8.459798E-8
         5168.515     1.135689E-7
         5176.208     1.254313E-7
         5183.908     1.481609E-7
         5191.621     2.225352E-7
         5199.344     3.085079E-7
         5207.083     4.543149E-7
         5214.832     8.146072E-7
          5222.59     1.434725E-6
          5230.36     2.503284E-6
         5238.142     4.259926E-6
         5245.935     6.546701E-6
         5253.742     9.115439E-6
         5261.562     1.166313E-5
         5269.386     1.441571E-5
         5277.229     1.832095E-5
          5285.08     2.482291E-5
         5292.945     3.591066E-5
         5300.823     5.435527E-5
         5308.707     8.575654E-5
         5316.607     1.387174E-4
         5324.517     2.279874E-4
         5332.438     3.759603E-4
         5340.375     6.042757E-4
          5348.32     8.751929E-4
          5356.28     0.001152587
         5364.249     0.001433058
         5372.229     0.001931635
         5380.225     0.002793978
         5388.226     0.003945326
         5396.245     0.005417103
         5404.276     0.007263312
         5412.316     0.009493491
         5420.372       0.0121389
         5428.433      0.01518035
         5436.512      0.01860617
         5444.603      0.02240955
         5452.703      0.02658796
         5460.815      0.03108793
         5468.939      0.03587328
         5477.076      0.04081836
          5485.23      0.04590267
         5493.391      0.05094581
         5501.563      0.05587418
         5509.749      0.06074315
         5517.946       0.0654072
         5526.158       0.0698349
         5534.382      0.07403068
         5542.616      0.07792708
         5550.862      0.08147502
         5559.121       0.0846935
         5567.394      0.08770435
          5575.68      0.09045837
         5583.975      0.09306698
         5592.283      0.09548993
         5600.603      0.09777287
         5608.935       0.0996974
         5617.282          0.1015
         5625.643       0.1032196
         5634.012       0.1048754
         5642.394       0.1065161
         5650.789        0.108195
         5659.199       0.1098403
         5667.621       0.1114325
          5676.05       0.1129754
         5684.498       0.1144972
         5692.955        0.116039
         5701.424       0.1177654
         5709.913        0.119257
         5718.404       0.1207434
         5726.915       0.1220796
         5735.435       0.1234011
         5743.968       0.1246246
         5752.517       0.1257871
         5761.072       0.1269422
         5769.649        0.127946
         5778.233       0.1288601
          5786.83       0.1297089
         5795.442       0.1304506
         5804.061       0.1311207
         5812.699       0.1317378
          5821.35       0.1322584
         5830.011       0.1326293
         5838.684       0.1330578
         5847.371       0.1334296
          5856.07       0.1337376
         5864.789       0.1340998
         5873.514       0.1343784
         5882.252       0.1347134
         5891.003       0.1350345
         5899.768       0.1353132
         5908.548       0.1355957
         5917.342        0.135935
         5926.146       0.1363088
         5934.962       0.1367048
         5943.792        0.137073
         5952.638       0.1374559
         5961.497       0.1378902
         5970.366       0.1383594
         5979.249       0.1387406
         5988.144       0.1391873
         5997.053       0.1395667
         6005.981       0.1397469
         6014.917       0.1398362
         6023.866       0.1399697
         6032.828       0.1400528
         6041.803        0.140051
         6050.795       0.1400496
           6059.8        0.139974
         6068.813       0.1398677
         6077.844       0.1397347
         6086.887       0.1395991
         6095.942        0.139392
         6105.018       0.1392188
         6114.098       0.1389863
         6123.197       0.1387368
         6132.307        0.138412
          6141.43        0.138062
         6150.574       0.1377701
         6159.717       0.1375304
         6168.888          0.1373
         6178.066       0.1371714
         6187.257       0.1369927
         6196.466        0.136842
         6205.681       0.1366786
         6214.917       0.1364997
         6224.167       0.1364447
         6233.427       0.1364393
           6242.7       0.1364679
         6251.988       0.1366343
         6261.292       0.1368164
         6270.611       0.1369999
