#  Table f631n.tab  Mon 11:02:32 21-Aug-95
# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION
      6260.0    3.8260E-4           0.
      6262.0    6.6946E-4           0.
      6264.0    0.0010519           0.
      6266.0    0.0016258           0.
      6268.0    0.0027733           0.
      6270.0    0.0045902           0.
      6272.0    0.0081284           0.
      6274.0     0.014727           0.
      6276.0     0.026489           0.
      6278.0     0.048483           0.
      6280.0     0.087212           0.
      6282.0      0.15654           0.
      6284.0      0.27914           0.
      6286.0      0.45786           0.
      6288.0      0.65763           0.
      6290.0      0.78692           0.
      6292.0      0.82852           0.
      6294.0      0.83292           0.
      6296.0      0.83731           0.
      6298.0      0.84171           0.
      6300.0      0.85118           0.
      6302.0      0.85711           0.
      6304.0      0.85606           0.
      6306.0      0.85682           0.
      6308.0      0.85462           0.
      6310.0      0.84994           0.
      6312.0      0.84277           0.
      6314.0      0.83014           0.
      6316.0       0.8157           0.
      6318.0      0.80241           0.
      6320.0      0.79342           0.
      6322.0      0.78329           0.
      6324.0      0.73365           0.
      6326.0      0.60676           0.
      6328.0       0.4069           0.
      6330.0      0.21918           0.
      6332.0      0.10777           0.
      6334.0     0.052308           0.
      6336.0     0.026871           0.
      6338.0     0.014535           0.
      6340.0     0.008224           0.
