#  Table f555w.tab  Mon 11:02:06 21-Aug-95
# WAVELENGTH   THROUGHPUT        error
#  ANGSTROMS TRANSMISSION TRANSMISSION
      6150.0      0.38621           0.
      6160.0      0.37782           0.
      6170.0      0.36833           0.
      6180.0      0.36014           0.
      6190.0      0.35066           0.
      6200.0      0.34257           0.
      6210.0      0.33328           0.
      6220.0      0.32519           0.
      6230.0       0.3163           0.
      6240.0      0.30841           0.
      6250.0      0.29972           0.
      6260.0      0.29213           0.
      6270.0      0.28354           0.
      6280.0      0.27625           0.
      6290.0      0.26796           0.
      6300.0      0.26087           0.
      6310.0      0.25288           0.
      6320.0      0.24599           0.
      6330.0       0.2382           0.
      6340.0      0.23161           0.
      6350.0      0.22402           0.
      6360.0      0.21762           0.
      6370.0      0.21033           0.
      6380.0      0.20404           0.
      6390.0      0.19715           0.
      6400.0      0.19106           0.
      6410.0      0.18417           0.
      6420.0      0.17847           0.
      6430.0      0.17208           0.
      6440.0      0.16659           0.
      6450.0       0.1605           0.
      6460.0       0.1553           0.
      6470.0      0.14961           0.
      6480.0      0.14462           0.
      6490.0      0.13912           0.
      6500.0      0.13443           0.
      6510.0      0.12944           0.
      6520.0      0.12474           0.
      6530.0      0.12005           0.
      6540.0      0.11575           0.
      6550.0      0.11106           0.
      6560.0      0.10706           0.
      6570.0      0.10267           0.
      6580.0     0.098855           0.
      6590.0      0.09466           0.
      6600.0     0.091104           0.
      6610.0     0.087189           0.
      6620.0     0.083874           0.
      6630.0     0.080198           0.
      6640.0     0.077102           0.
      6650.0     0.073667           0.
      6660.0      0.07079           0.
      6670.0     0.067614           0.
      6680.0     0.064918           0.
      6690.0     0.061822           0.
      6700.0     0.059345           0.
      6710.0     0.056528           0.
      6720.0     0.054151           0.
      6730.0     0.051515           0.
      6740.0     0.049357           0.
      6750.0      0.04702           0.
      6760.0     0.044863           0.
      6770.0     0.042666           0.
      6780.0     0.040748           0.
      6790.0     0.038791           0.
      6800.0     0.036913           0.
      6810.0     0.035155           0.
      6820.0     0.033458           0.
      6830.0      0.03182           0.
      6840.0     0.030182           0.
      6850.0     0.028704           0.
      6910.0     0.024059           0.
      6920.0     0.022921           0.
      6930.0     0.021673           0.
      6940.0     0.020624           0.
      6950.0     0.019505           0.
      6960.0     0.018546           0.
      6970.0     0.017528           0.
      6980.0     0.016679           0.
      6990.0      0.01573           0.
      7000.0     0.014951           0.
      7010.0     0.014112           0.
      7020.0     0.013403           0.
      7030.0     0.012624           0.
      7040.0     0.011995           0.
      7050.0     0.011306           0.
      7060.0     0.010726           0.
      7070.0     0.010107           0.
      7080.0    0.0095968           0.
      7090.0    0.0090355           0.
      7100.0    0.0085691           0.
      7110.0    0.0080658           0.
      7120.0    0.0076463           0.
      7130.0    0.0071919           0.
      7140.0    0.0068134           0.
      7150.0    0.0064079           0.
      7160.0    0.0060713           0.
      7170.0    0.0057058           0.
      7180.0    0.0054031           0.
      7190.0    0.0050706           0.
      7200.0    0.0048019           0.
      7210.0    0.0045093           0.
      7220.0    0.0042696           0.
      7230.0    0.0040099           0.
      7240.0    0.0037942           0.
      7250.0    0.0035615           0.
      7260.0    0.0033677           0.
      7270.0     0.003166           0.
      7280.0    0.0029972           0.
      7290.0    0.0028094           0.
      7300.0    0.0026586           0.
      7310.0    0.0024958           0.
      7320.0      0.00236           0.
      7330.0    0.0022142           0.
      7340.0    0.0020933           0.
      7350.0    0.0019625           0.
      7360.0    0.0018566           0.
      7370.0    0.0017428           0.
      7380.0    0.0016499           0.
      7390.0     0.001545           0.
      7400.0    0.0014621           0.
      7410.0    0.0013703           0.
      7420.0    0.0012954           0.
      7430.0    0.0012155           0.
      7440.0    0.0011475           0.
      7450.0    0.0010776           0.
      7460.0    0.0010197           0.
      7470.0    9.5549E-4           0.
      7480.0    9.0415E-4           0.
      7490.0    8.4772E-4           0.
      7500.0    8.0088E-4           0.
