#  Table f555w_sys.tab  Mon 11:02:08 21-Aug-95
#      WAVELENGTH      THROUGHPUT
#       angstroms                
         5812.699       0.0972972
          5821.35      0.09653324
         5830.011       0.0956739
         5838.684      0.09491539
         5847.371      0.09401845
          5856.07      0.09315793
         5864.789      0.09228715
         5873.514      0.09139391
         5882.252      0.09048986
         5891.003      0.08953258
         5899.768        0.088635
         5908.548      0.08768183
         5917.342      0.08672252
         5926.146       0.0857469
         5934.962      0.08478978
         5943.792      0.08378358
         5952.638      0.08273222
         5961.497      0.08176506
         5970.366      0.08067136
         5979.249      0.07971676
         5988.144      0.07859144
         5997.053      0.07756683
         6005.981      0.07638554
         6014.917      0.07517783
         6023.866      0.07395909
         6032.828      0.07270126
         6041.803      0.07150514
         6050.795      0.07018672
           6059.8      0.06904745
         6068.813      0.06773675
         6077.844      0.06658099
         6086.887      0.06529614
         6095.942      0.06409171
         6105.018      0.06284931
         6114.098      0.06160625
         6123.197      0.06041522
         6132.307      0.05917595
          6141.43      0.05802486
         6150.574      0.05672576
         6159.717      0.05561306
         6168.888      0.05435266
         6178.066      0.05324004
         6187.257      0.05200757
         6196.466      0.05086808
         6205.681      0.04968328
         6214.917      0.04851865
         6224.167      0.04737895
         6233.427      0.04622796
           6242.7      0.04512844
         6251.988       0.0439819
         6261.292      0.04293094
         6270.611      0.04177031
          6279.94      0.04077591
         6289.283      0.03964166
          6298.64      0.03865711
         6308.011      0.03757701
         6317.402      0.03659525
         6326.801       0.0355541
         6336.214      0.03458651
          6345.64      0.03359004
         6355.081      0.03262535
         6364.539      0.03167524
         6374.012      0.03071671
         6383.494      0.02980671
         6392.991      0.02887702
         6402.502      0.02799237
         6412.031      0.02705841
         6421.571      0.02623997
         6431.128      0.02535177
         6440.692      0.02456876
         6450.278      0.02370828
         6459.874       0.0229707
         6469.488      0.02216044
         6479.117      0.02144234
         6488.752      0.02066446
          6498.41      0.01997677
         6508.078      0.01922775
         6517.764      0.01849974
          6527.46      0.01778251
         6537.171       0.0171093
           6546.9      0.01641281
         6556.641       0.0157699
         6566.399      0.01512345
         6576.168      0.01451141
         6585.952      0.01389923
          6595.75      0.01332129
         6605.566      0.01275353
         6615.394      0.01221225
         6625.239      0.01168409
         6635.092      0.01117668
         6644.967      0.01068611
         6654.857      0.01021226
         6664.757     0.009760065
         6674.677     0.009319439
         6684.603     0.008890386
         6694.552     0.008472343
         6704.515     0.008081257
          6714.49     0.007693727
         6724.479     0.007325241
         6734.483     0.006968181
         6744.506     0.006637805
         6754.541     0.006306647
         6764.593     0.005987816
         6774.657     0.005685327
         6784.736     0.005402246
          6794.83     0.005122724
         6804.943     0.004858097
          6815.07     0.004607157
         6825.209     0.004365744
         6835.364     0.004129439
         6845.533     0.003906042
         6855.721      0.00374688
          6865.92     0.003630091
         6876.139     0.003513827
         6886.369     0.003398198
         6896.614     0.003283115
         6906.875     0.003168515
         6917.154     0.003020574
         6927.449     0.002848011
         6937.751     0.002692454
         6948.076     0.002536815
         6958.414     0.002397205
          6968.77      0.00225554
         6979.141     0.002133146
         6989.521     0.002002041
         6999.923     0.001891723
         7010.337     0.001772717
         7020.771     0.001670255
         7031.211     0.001562618
         7041.676     0.001471757
         7052.156     0.001378033
         7062.648     0.001295095
         7073.155     0.001213209
         7083.682     0.001139433
         7094.217     0.001066961
         7104.775     0.001000159
         7115.349     9.367241E-4
         7125.935     8.765953E-4
         7136.537     8.209323E-4
         7147.154     7.670981E-4
         7157.791     7.188966E-4
         7168.444     6.705511E-4
         7179.108     6.285466E-4
         7189.789     5.846340E-4
         7200.486     5.483517E-4
         7211.202     5.104514E-4
         7221.931     4.781704E-4
         7232.679     4.455061E-4
         7243.439     4.164524E-4
         7254.216     3.881026E-4
         7265.008     3.623936E-4
          7275.82     3.385092E-4
         7286.649     3.152535E-4
         7297.485     2.943742E-4
         7308.346     2.739250E-4
         7319.219     2.560287E-4
         7330.112     2.377000E-4
         7341.022     2.222271E-4
         7351.939     2.063656E-4
         7362.881     1.927654E-4
         7373.835     1.794592E-4
         7384.806     1.672299E-4
         7395.796     1.556625E-4
         7406.799     1.447543E-4
         7417.819     1.349172E-4
         7428.858     1.252708E-4
         7439.911     1.168155E-4
         7450.983     1.084648E-4
         7462.064     1.012833E-4
          7473.17     9.399987E-5
         7484.292     8.758352E-5
         7495.427     8.139855E-5
