# lambda    trans    
  20700.0   87.199   
  20705.0   87.196   
  20710.0   87.228   
  20715.0   87.187   
  20720.0   87.137   
  20725.0   87.181   
  20730.0   87.093   
  20735.0   87.099   
  20740.0   87.08    
  20745.0   86.914   
  20750.0   86.905   
  20755.0   86.852   
  20760.0   86.879   
  20765.0   86.824   
  20770.0   86.916   
  20775.0   86.833   
  20780.0   86.681   
  20785.0   86.963   
  20790.0   86.873   
  20795.0   86.995   
  20800.0   86.951   
  20805.0   86.978   
  20810.0   87.218   
  20815.0   87.23    
  20820.0   87.283   
  20825.0   87.148   
  20830.0   87.326   
  20835.0   87.39    
  20840.0   87.46    
  20845.0   87.61    
  20850.0   87.421   
  20855.0   87.611   
  20860.0   87.808   
  20865.0   87.816   
  20870.0   87.801   
  20875.0   87.785   
  20880.0   87.944   
  20885.0   87.869   
  20890.0   87.883   
  20895.0   87.801   
  20900.0   87.747   
  20905.0   87.689   
  20910.0   87.515   
  20915.0   87.407   
  20920.0   87.259   
  20925.0   87.16    
  20930.0   87.143   
  20935.0   86.938   
  20940.0   86.877   
  20945.0   87.166   
  20950.0   87.463   
  20955.0   87.526   
  20960.0   87.52    
  20965.0   87.717   
  20970.0   87.666   
  20975.0   87.802   
  20980.0   87.857   
  20985.0   87.563   
  20990.0   87.36    
  20995.0   87.37    
  21000.0   87.46    
  21005.0   87.437   
  21010.0   87.625   
  21015.0   87.708   
  21020.0   87.708   
  21025.0   87.605   
  21030.0   87.608   
  21035.0   87.662   
  21040.0   87.599   
  21045.0   87.564   
  21050.0   87.364   
  21055.0   87.283   
  21060.0   87.328   
  21065.0   87.556   
  21070.0   87.721   
  21075.0   87.698   
  21080.0   87.852   
  21085.0   87.915   
  21090.0   87.866   
  21095.0   87.901   
  21100.0   87.859   
  21105.0   87.935   
  21110.0   87.859   
  21115.0   87.749   
  21120.0   87.605   
  21125.0   87.521   
  21130.0   87.619   
  21135.0   87.73    
  21140.0   87.639   
  21145.0   87.587   
  21150.0   87.505   
  21155.0   87.526   
  21160.0   87.569   
  21165.0   87.561   
  21170.0   87.566   
  21175.0   87.383   
  21180.0   87.442   
  21185.0   87.393   
  21190.0   87.524   
  21195.0   87.55    
  21200.0   87.445   
  21205.0   87.474   
  21210.0   87.48    
  21215.0   87.576   
  21220.0   87.622   
  21225.0   87.578   
  21230.0   87.57    
  21235.0   87.5     
  21240.0   87.605   
  21245.0   87.486   
  21250.0   87.55    
  21255.0   87.463   
  21260.0   87.389   
  21265.0   87.254   
  21270.0   87.067   
  21275.0   87.119   
  21280.0   87.041   
  21285.0   87.254   
  21290.0   87.221   
  21295.0   87.212   
  21300.0   87.332   
  21305.0   87.595   
  21310.0   87.576   
  21315.0   87.572   
  21320.0   87.651   
  21325.0   87.521   
  21330.0   87.682   
  21335.0   87.738   
  21340.0   87.84    
  21345.0   87.698   
  21350.0   87.985   
  21355.0   88.033   
  21360.0   88.033   
  21365.0   87.86    
  21370.0   87.766   
  21375.0   87.962   
  21380.0   87.706   
  21385.0   87.878   
  21390.0   87.756   
  21395.0   87.608   
  21400.0   87.643   
  21405.0   87.808   
  21410.0   87.816   
  21415.0   87.776   
  21420.0   87.762   
  21425.0   87.587   
  21430.0   87.476   
  21435.0   87.494   
  21440.0   87.23    
  21445.0   86.961   
  21450.0   86.743   
  21455.0   86.649   
  21460.0   86.624   
  21465.0   86.597   
  21470.0   86.729   
  21475.0   86.859   
  21480.0   87.08    
  21485.0   87.273   
  21490.0   87.251   
  21495.0   87.073   
  21500.0   87.146   
  21505.0   87.117   
  21510.0   86.916   
  21515.0   86.682   
  21520.0   86.707   
  21525.0   86.929   
  21530.0   87.097   
  21535.0   87.344   
  21540.0   87.26    
  21545.0   87.305   
  21550.0   87.526   
  21555.0   87.709   
  21560.0   87.529   
  21565.0   87.346   
  21570.0   87.134   
  21575.0   86.955   
  21580.0   87.126   
  21585.0   87.114   
  21590.0   87.022   
  21595.0   86.853   
  21600.0   86.986   
  21605.0   87.029   
  21610.0   87.071   
  21615.0   86.917   
  21620.0   86.731   
  21625.0   86.655   
  21630.0   86.583   
  21635.0   86.694   
  21640.0   86.722   
  21645.0   86.821   
  21650.0   86.803   
  21655.0   86.986   
  21660.0   87.177   
  21665.0   87.424   
  21670.0   87.527   
  21675.0   87.497   
  21680.0   87.347   
  21685.0   87.201   
  21690.0   87.343   
  21695.0   87.312   
  21700.0   87.186   
  21705.0   87.016   
  21710.0   86.913   
  21715.0   86.835   
  21720.0   86.852   
  21725.0   86.812   
  21730.0   86.67    
