microns throughput
1.940966984 5.2112441352068055e-06
1.942575076 5.266547463171552e-06
1.9441831680000001 5.58820380521425e-06
1.94579126 6.115612053584364e-06
1.947399352 6.8318078884693725e-06
1.949007444 7.759515632008333e-06
1.950615536 9.6690869214853e-06
1.952223628 1.1332092197844854e-05
1.95383172 8.65418142813969e-06
1.955439812 7.171974558506621e-06
1.957047904 7.05764045188498e-06
1.958655996 5.4113072407857605e-06
1.960264088 3.311119302070819e-06
1.961872179 3.543572607587587e-06
1.9634802709999999 5.403213767246983e-06
1.965088363 6.950674741834953e-06
1.9666964550000001 8.494176310221367e-06
1.968304547 7.27836967118329e-06
1.969912639 6.150601819421055e-06
1.971520731 5.78623534550806e-06
1.973128823 4.3342010680780685e-06
1.974736915 2.9969044293982024e-06
1.976345007 2.860875185204187e-06
1.977953099 3.462261790200737e-06
1.979561191 2.5924576058438087e-06
1.981169283 7.09205908260006e-07
1.982777375 4.817770635192546e-07
1.984385467 6.198000751282968e-07
1.985993559 1.112235967570313e-06
1.9876016509999999 2.3865122205260687e-06
1.989209743 2.6031395041916715e-06
1.990817835 3.50510572346922e-06
1.992425927 4.134103547458162e-06
1.9940340189999999 6.2360188079127375e-06
1.99564211 5.824206914641131e-06
1.997250202 6.195939968250422e-06
1.998858294 9.172473869654026e-06
2.0004663860000003 1.8415867768188255e-05
2.002074478 1.5893248560838384e-05
2.00368257 1.4375815703793943e-05
2.005290662 1.4523119506071424e-05
2.006898754 1.2667587962808722e-05
2.008506846 9.833587378368574e-06
2.010114938 8.190203645898521e-06
2.01172303 8.065643887949208e-06
2.013331122 9.49376690162466e-06
2.014939214 1.0201481595581925e-05
2.016547306 1.1222230728712276e-05
2.018155398 9.899776707809456e-06
2.01976349 1.0935118639766373e-05
2.021371582 1.5008776118631901e-05
2.022979674 1.530905119859243e-05
2.0245877660000002 1.2616624359986281e-05
2.026195858 1.3577412818943569e-05
2.027803949 1.7773045557975253e-05
2.029412041 1.9784961697835284e-05
2.031020133 1.8279902943393346e-05
2.032628225 1.9579995034208827e-05
2.034236317 2.3007057317074672e-05
2.035844409 2.4896058882423697e-05
2.037452501 2.5877601482343397e-05
2.039060593 2.49211171694039e-05
2.040668685 2.324664049929742e-05
2.042276777 2.4023243437968426e-05
2.0438848689999998 2.6325164585245358e-05
2.045492961 2.296125465032027e-05
2.047101053 1.8451970951479604e-05
2.0487091449999997 2.0288743392283223e-05
2.0503172370000002 2.5668413655529998e-05
2.0519253290000004 2.4597747715259187e-05
2.053533421 2.0835998482447147e-05
2.055141513 1.9814930973003278e-05
2.056749605 2.088571975161327e-05
2.058357697 1.944276594115321e-05
2.059965788 1.694118433408216e-05
2.06157388 1.607563373149687e-05
2.0631819719999998 1.6583819571021014e-05
2.064790064 1.8890880917825797e-05
2.066398156 2.316559610521757e-05
2.068006248 2.3603725159653677e-05
2.06961434 2.0954239364265123e-05
2.071222432 2.0512643919180234e-05
2.072830524 2.230195808489204e-05
2.074438616 2.1066419335344942e-05
2.076046708 1.610878828564364e-05
2.0776548 1.4066320060435014e-05
2.079262892 1.580813160616719e-05
2.080870984 1.6912748914736206e-05
2.0824790760000003 1.5693684634085725e-05
2.084087168 1.5167645345647032e-05
2.08569526 1.6760379343355876e-05
2.0873033519999997 1.8578122243254958e-05
2.088911444 1.9431022677068706e-05
2.090519536 2.050997032156684e-05
2.092127627 1.691683017676184e-05
2.0937357189999997 1.5656989038027455e-05
2.0953438110000002 1.791713528357954e-05
2.0969519030000003 2.1128699088778493e-05
2.098559995 2.0243889826180583e-05
2.100168087 1.828384341094637e-05
2.101776179 1.9395190505221613e-05
2.103384271 2.2305984346701552e-05
2.104992363 2.1434494418139325e-05
2.1066004549999997 1.7809617157051573e-05
2.1082085470000003 1.5252157078837968e-05
2.109816639 1.3582641908380816e-05
2.111424731 1.170318075039933e-05
2.113032823 9.253736398265862e-06
2.114640915 7.046664186030768e-06
2.116249007 3.997880582785311e-06
2.1178570989999996 2.2713719277882348e-06
2.1194651909999997 4.031146685887446e-06
2.1210732830000003 7.3727230845328735e-06
2.122681375 6.702924251668185e-06
2.124289466 5.422431416867375e-06
2.125897558 6.4798625265575825e-06
2.1275056500000002 9.273053457142878e-06
2.129113742 6.8521215011272125e-06
2.130721834 4.37256718825885e-06
2.1323299259999997 3.5751845057540326e-06
2.133938018 4.162318559520488e-06
2.1355461100000004 5.345566824677154e-06
2.137154202 4.251701120895224e-06
2.138762294 3.660874692474158e-06
2.140370386 1.550242886944886e-06
2.141978478 1.0668477404099377e-06
2.14358657 1.2746774867583822e-06
2.1451946619999998 1.7949103783351518e-06
2.146802754 3.623043878148126e-07
2.1484108460000004 2.243328908036471e-08
