2.76	0.05	0.07		0.05	0.07			
2.77	0.06	0.07		0.06	0.07			
2.78	0.05	0.06		0.05	0.06			
2.79	0.04	0.06		0.04	0.06			
2.80	0.04	0.05		0.04	0.05			
2.81	0.04	0.06		0.04	0.06			
2.82	0.04	0.06		0.04	0.06			
2.83	0.05	0.06		0.05	0.06			
2.84	0.04	0.05		0.04	0.05			
2.85	0.03	0.05		0.04	0.05			
2.86	0.03	0.06		0.04	0.06			
2.87	0.04	0.05		0.04	0.05			
2.88	0.03	0.05		0.03	0.05			
2.89	0.03	0.03		0.03	0.03			
2.90	0.03	0.03		0.03	0.03			
2.91	0.02	0.03		0.03	0.03			
2.92	0.03	0.04		0.03	0.04			
2.93	0.02	0.04		0.02	0.04			
2.94	0.01	0.02		0.01	0.02			
2.95	0.02	0.02		0.02	0.02			
2.96	0.03	0.03		0.03	0.03			
2.97	0.02	0.03		0.02	0.03			
2.98	0.02	0.02		0.02	0.02			
2.99	0.02	0.02		0.02	0.02			
3.00	0.02	0.01		0.02	0.01			
3.01	0.01	0.01		0.02	0.01			
3.02	0.01	0.02		0.02	0.02			
3.03	0.01	0.02		0.01	0.02			
3.04	0.01	0.02		0.01	0.02			
3.05	0.02	0.02		0.02	0.02			
3.06	0.01	0.01		0.02	0.01			
3.07	0.02	0.01		0.02	0.01			
3.08	0.01	0.01		0.01	0.01			
3.09	0.02	0.01		0.02	0.01			
3.10	0.02	0		0.02	0			
3.11	0.01	0		0.01	0			
3.12	0.01	0.01		0.01	0.01			
3.13	0.01	0.01		0.01	0.01			
3.14	0.01	0		0.01	0			
3.15	0	0		0	0			
3.16	0	0		0	0			
3.17	0	0.01		0	0.01			
3.18	0	0.01		0	0.01			
3.19	0.01	0.02		0.01	0.02			
3.20	0.01	0.02		0	0.02			
3.21	0.01	0.02		0.01	0.02			
3.22	0	0.01		0	0.01			
3.23	0	0.01		0	0.01			
3.24	0	0.01		0	0.01			
3.25	0	0.01		0	0.01			
3.26	0	0.02		0	0.02			
3.27	0	0.02		-0.01	0.02			
3.28	0	0.03		0	0.03			
3.29	0	0.03		0	0.03			
3.30	0	0.03		0	0.03			
3.31	0	0.02		0	0.02			
3.32	0	0.03		0	0.03			
3.33	0	0.02		-0.01	0.02			
3.34	0	0.02		-0.01	0.02			
3.35	0	0.02		0	0.02			
3.36	0	0.03		0	0.03			
3.37	0	0.04		0	0.04			
3.38	0	0.01		0	0.01			
3.39	0	0.01		0	0.01			
3.40	0.01	0.01		0.01	0.01			
3.41	0.01	0.01		0.01	0.01			
3.42	0	0.01		0	0.01			
3.43	0	0		0	0			
3.44	0	0		0	0			
3.45	0	0		0	0			
3.46	0	0		0	0			
3.47	0	0		0	0			
3.48	0	0		0	0			
3.49	0	0		0	0			
3.50	0	0.01		0	0.01			
3.51	0	0.01		0	0.01			
