2.89	0	0		0.01	0
2.90	0	0		0	0
2.91	0	0		0	0
2.92	0	0.01		0	0.01
2.93	0	0		0	0
2.94	0	0		0	0
2.95	0.02	0		0	0
2.96	0	0		0	0
2.97	0	0		0	0
2.98	-0.01	0		0	0
2.99	0.01	0		0	0
3.00	0	0.01		0	0.01
3.01	0	0		0	0
3.02	0	0		0.01	0
3.03	0	0		0.02	0
3.04	0.01	0		0.01	0
3.05	0	0		0	0
3.06	0.01	0		0.01	0
3.07	-0.01	0		0	0
3.08	0.01	0		-0.01	0
3.09	0	0		0.01	0
3.10	0.01	0.01		0	0.01
3.11	0	0		0	0
3.12	0	0		-0.01	0
3.13	0.01	0		0	0
3.14	0.01	0		0	0
3.15	0	0		0.01	0
3.16	0	0		0	0
3.17	0.01	0		0	0
3.18	0.01	0.01		0	0.01
3.19	0	0		0	0
3.20	0	0.01		0	0.01
3.21	0.01	0		0	0
3.22	0	0		0	0
3.23	0.01	0		0	0
3.24	0	0		0	0
3.25	0	0		0	0
3.26	0	0		0	0
3.27	0	0		0	0
3.28	0	0		0	0
3.29	0	0		0	0
3.30	0.01	0.01		0.01	0.01
3.31	0	0		0	0
3.32	0	0.01		0	0.01
3.33	0	0		0	0
3.34	0.01	0.01		0	0.01
3.35	0	0		0.01	0
3.36	0	0.01		0	0.01
3.37	0	0.01		0.01	0.01
3.38	0	0		0	0
3.39	0.01	0		0.01	0
3.40	0	0.01		0	0.01
3.41	0	0		0.01	0
3.42	0.01	0		0.01	0
3.43	0.01	0		0	0
3.44	0.01	0		0	0
3.45	0.01	0		0	0
3.46	0	0		0.01	0
3.47	0	0		0	0
3.48	0	0		0	0
3.49	0	0		0	0
3.50	0	0		0.01	0
3.51	0	0		0.01	0
3.52	0	0		0	0
3.53	-0.01	0		0	0
3.54	0	0		0	0
3.55	0	0		0	0
3.56	0	0		0	0
3.57	0	0		0	0
3.58	0	0		0	0
3.59	0	0		0	0
3.60	0	0		0	0
3.61	0	0		0	0
3.62	0	0		0	0
3.63	0.01	0		0	0
3.64	0	0		0	0
3.65	0.01	-0.01		0	-0.01
3.66	0.01	0		0	0
3.67	0	0		0	0
3.68	0	0		0.01	0
3.69	0	0.01		0.01	0.01
3.70	0	0.01		0.01	0.01
3.71	0	0.01		0.01	0.01
3.72	0	0.01		0.01	0.01
3.73	0	0.01		0	0.01
3.74	-0.01	0.01		0	0.01
3.75	0	0.01		0	0.01
3.76	0.01	0		0	0
3.77	0.01	0		0	0
3.78	0	0		0	0
3.79	0.01	0		0.01	0
3.80	0	0		0.01	0
3.81	0.01	-0.01		0.01	-0.01
3.82	0	0		0.01	0
3.83	0	-0.01		0.01	-0.01
3.84	0	0		0.01	0
3.85	0	0.01		0.01	0.01
3.86	0	0.01		0	0.01
3.87	0	0.01		0	0.01
3.88	0	0.01		0	0.01
3.89	0	0		0	0
3.90	0	0.01		0	0.01
3.91	0	0.01		0	0.01
3.92	-0.01	0.01		0.01	0.01
3.93	0	0.01		0	0.01
3.94	0	0		0	0
3.95	0	0		0	0
3.96	0	0		0	0
3.97	0.01	0		0.01	0
3.98	0.01	0		0	0
3.99	0.01	0		0	0
4.00	0	0.01		0	0.01
4.01	0.01	0		0.01	0
4.02	0.01	0		0	0
4.03	0	0		0	0
4.04	0.01	0		0	0
4.05	0	0		0	0
4.06	0	0.01		0	0.01
4.07	0	0.01		0	0.01
4.08	0	0		0	0
4.09	0	0		0.01	0
4.10	0.01	0		0	0
4.11	0.01	0		0.01	0
4.12	0.01	0.01		0.01	0.01
4.13	0	0		0	0
4.14	0	0		0	0
4.15	0	0		0	0
4.16	0	0		0.01	0
4.17	0	0		0	0
4.18	0	0		0	0
4.19	0	0		0	0
4.20	0	0		0.01	0
4.21	0.01	0		0	0
4.22	0	0		0	0
4.23	0	0.01		0.01	0.01
4.24	0	0		0.01	0
4.25	0	0		0.01	0
4.26	0	0		0.01	0
4.27	0	0.01		0	0.01
4.28	0.01	0		0	0
4.29	0	0		0.01	0
4.30	0.01	0		0.01	0
4.31	0.01	0		0.01	0
4.32	0.01	0		0.01	0
4.33	0.01	0.01		0	0.01
4.34	0	0		0	0
4.35	0.01	0		0	0
4.36	0	0		0	0
4.37	0	0.01		0	0.01
4.38	0.01	0		0	0
4.39	0.01	0		0	0
4.40	0.01	0		0	0
4.41	0	0.01		0	0.01
4.42	0	0.01		0	0.01
4.43	0.01	0.01		0	0.01
4.44	0.01	0		0.01	0
4.45	0	0.01		0.01	0.01
4.46	0.01	0		0.01	0
4.47	0.01	0		0	0
4.48	0.01	0		0.01	0
4.49	0.01	0		0	0
4.50	0	0		0	0
4.51	0	0		0	0
4.52	0	0		0	0
4.53	0	0		0	0
4.54	0	0.01		0	0.01
4.55	0	0		0	0
4.56	0	0.01		0.01	0.01
4.57	0	0.01		0	0.01
4.58	0	0.01		0	0.01
4.59	0.01	0		0.01	0
4.60	0	0		0	0
4.61	-0.01	0.01		0.01	0.01
4.62	0	0		0	0
4.63	0	0.01		0.01	0.01
4.64	0	0		0	0
4.65	-0.01	0.01		0.01	0.01
4.66	0.01	0.01		0.01	0.01
4.67	0	0.01		0	0.01
4.68	0.01	0.01		0	0.01
4.69	0	0.01		0	0.01
4.70	0.01	0.01		0	0.01
4.71	0.01	0.01		0	0.01
4.72	0.01	0.01		0	0.01
4.73	0.01	0.01		0	0.01
4.74	0.01	0.01		0	0.01
4.75	0	0.01		0	0.01
4.76	0	0.01		0.01	0.01
4.77	0	0.01		0.01	0.01
4.78	0.01	0.01		0	0.01
4.79	0	0		0.01	0
4.80	0.01	0.01		0.01	0.01
4.81	0	0.01		0.01	0.01
4.82	0.01	0.01		0	0.01
4.83	0.01	0.01		0	0.01
4.84	0.01	0.01		0	0.01
4.85	0.01	0.01		0.01	0.01
4.86	0	0.01		0.01	0.01
4.87	0.01	0.01		0	0.01
4.88	0.01	0.01		0.01	0.01
4.89	0.01	0.01		0.01	0.01
4.90	0.01	0.01		0.01	0.01
4.91	0.01	0.01		0	0.01
4.92	0.01	0.01		0	0.01
4.93	0.01	0.01		0	0.01
4.94	0	0		0	0
4.95	0	0		0.01	0
4.96	0	0.01		0.01	0.01
4.97	0	0		0	0
4.98	0	0		0	0
4.99	0.01	0		0.01	0
5.00	0	0		0	0
5.01	0.01	0		0	0
5.02	0.01	0		-0.01	0
5.03	0	0.01		0	0.01
5.04	0	0		0	0
5.05	0	0		0	0
5.06	0.01	0.01		0	0.01
5.07	0	0.01		0	0.01
5.08	0	0		0.01	0
5.09	0	0		0	0
5.10	0.01	-0.01		0	-0.01
5.11	0.01	0		-0.01	0
5.12	0.01	0		-0.01	0
5.13	0.01	0		0.01	0
5.14	0.01	0		0	0
5.15	0.01	0		0	0
5.16	0.01	0		0	0
5.17	0.01	0		0	0
5.18	0.01	0		0	0
5.19	0.01	0		0	0
5.20	0.01	0.01		0	0.01
5.21	0	0.01		0.01	0.01
5.22	0.01	0.01		0.01	0.01
5.23	0	0.02		0.01	0.02
5.24	0	0.02		0	0.02
5.25	0.01	0.02		0.01	0.02
5.26	0	0.02		0.01	0.02
5.27	0	0.02		0.01	0.02
5.28	0.01	0.02		0	0.02
5.29	0	0.02		0	0.02
5.30	0	0.01		0	0.01
5.31	0	0.01		0.01	0.01
5.32	0.01	0.01		0.01	0.01
5.33	0.01	0.01		0	0.01
5.34	0.02	0.01		0.01	0.01
5.35	0.02	0.01		0	0.01
5.36	0.02	0.01		0.01	0.01
5.37	0.02	0.01		0.02	0.01
5.38	0.02	0.01		0.02	0.01
5.39	0.02	0.01		0.02	0.01
5.40	0.02	0.01		0.02	0.01
5.41	0.02	0.01		0.01	0.01
5.42	0.02	0.01		0.02	0.01
5.43	0.01	0.01		0.02	0.01
5.44	0.01	0.02		0.01	0.02
5.45	0.01	0.02		0.01	0.02
5.46	0	0.02		0.01	0.02
5.47	0.01	0.02		0.02	0.02
5.48	0	0.02		0.01	0.02
5.49	0	0.01		0.01	0.01
5.50	0	0.02		0.01	0.02
5.51	0.01	0.02		0.01	0.02
5.52	0.01	0.02		0.01	0.02
5.53	0	0.02		0.01	0.02
5.54	0.01	0.02		0.02	0.02
5.55	0.02	0.02		0.01	0.02
5.56	0.02	0.01		0.01	0.01
5.57	0.01	0.01		0.01	0.01
5.58	0.01	0		0.01	0
5.59	0.01	0		0	0
5.60	0.01	-0.01		0.01	-0.01
5.61	0.02	-0.01		0.02	-0.01
5.62	0.01	-0.01		0.01	-0.01
5.63	0.01	-0.01		0.01	-0.01
5.64	0.01	-0.01		0.01	-0.01
5.65	0.01	-0.01		0.01	-0.01
5.66	0.01	-0.01		0.01	-0.01
5.67	0.01	0		0.01	0
5.68	0	0		0	0
5.69	0	0		0.01	0
5.70	0	0		0.01	0
5.71	0	-0.01		0	-0.01
5.72	0	-0.01		-0.01	-0.01
5.73	0	-0.01		-0.01	-0.01
5.74	0	-0.01		0	-0.01
5.75	0	0		0	0
5.76	0	0		0	0
