2.58	0.01	0.0180		0.0050	0.01		
2.59	-0.01	-0.0850		-0.0150	-0.01		
2.60	0.02	0.0710		0.0090	0.03		
2.61	0.02	0.0320		0.0040	0.03		
2.62	-0.01	0.0690		-0.0030	0.01		
2.63	0.06	0.0310		0.0100	0.03		
2.64	0.03	0.0250		0.0010	-0.01		
2.65	0.01	-0.0170		0.0030	-0.02		
2.66	0.01	-0.0270		0.0120	0		
2.67	0	-0.0830		0.0170	0		
2.68	0.02	-0.0180		0.0050	0.04		
2.69	-0.01	0.0810		0.0070	-0.03		
2.70	-0.03	-0.0890		-0.0020	0		
2.71	0.01	0.0100		0.0260	0.06		
2.72	0.04	0.0480		0.0070	0.03		
2.73	0	0.0430		0.0080	0.01		
2.74	0.05	-0.0120		-0.0060	-0.02		
2.75	0.01	-0.0240		-0.0030	-0.01		
2.76	0	0.0600		-0.0070	0.02		
2.77	0.02	0.0590		-0.0010	-0.01		
2.78	0	0.0340		0.0080	0.02		
2.79	0.01	-0.0050		0.0020	0.02		
2.80	0	0.0300		0.0080	0.01		
2.81	0	0.0250		0.0060	0.01		
2.82	0.02	0.0090		0.0000	0		
2.83	0.02	0.0130		0.0040	0.02		
2.84	0.01	-0.0110		0.0000	0		
2.85	0	0.0340		0.0080	0.03		
2.86	0.02	0.0280		0.0070	0		
2.87	0.02	0.0090		0.0020	0.01		
2.88	-0.02	0.0270		-0.0080	0		
2.89	0.02	-0.0080		-0.0060	0.04		
2.90	0	-0.0160		0.0030	0		
2.91	-0.01	0.0020		0.0020	-0.02		
2.92	0	-0.0030		-0.0010	0.03		
2.93	0.02	0.0410		0.0020	0.02		
2.94	0.02	-0.0310		0.0030	0.01		
2.95	0.01	0.0010		0.0050	0.04		
2.96	0	0.0630		0.0050	0.01		
2.97	0	0.0280		0.0030	0.02		
2.98	0.01	0.0100		0.0040	0.03		
2.99	-0.01	-0.0190		0.0050	0.01		
3.00	0.01	-0.0080		0.0020	0.04		
3.01	0.01	0.0200		0.0120	0		
3.02	0.01	-0.0090		-0.0020	0.02		
3.03	0.02	0.0170		0.0040	0.04		
3.04	0	0.0170		0.0070	0.01		
3.05	0	0.0050		0.0040	-0.02		
3.06	-0.01	0.0140		0.0110	0.01		
3.07	0.01	-0.0030		0.0010	0.03		
3.08	0.01	0.0170		0.0030	0.02		
3.09	0.01	-0.0030		0.0030	0		
3.10	0	0.0250		0.0020	-0.01		
3.11	0	0.0030		0.0140	0		
3.12	0	0.0090		-0.0040	-0.01		
3.13	0.01	0.0020		0.0020	0		
3.14	-0.01	0.0430		0.0040	0		
3.15	0	0.0010		0.0050	-0.01		
3.16	0.01	-0.0150		0.0090	-0.01		
3.17	0.01	0.0250		0.0020	0.01		
3.18	0	0.0240		0.0010	0.01		
3.19	-0.01	0.0120		0.0010	-0.01		
3.20	0.02	0.0350		0.0040	0.02		
3.21	0	0.0140		0.0030	-0.01		
3.22	0.01	0.0240		0.0060	0.02		
3.23	0	0.0290		0.0020	0.02		
3.24	0.02	0.0090		-0.0020	0		
3.25	0.02	0.0380		0.0090	-0.01		
3.26	0.01	0.0020		0.0080	0.01		
3.27	0	0.0160		0.0030	0.01		
3.28	-0.01	0.0380		0.0000	-0.01		
3.29	0	0.0070		-0.0020	0.01		
3.30	0.01	-0.0200		0.0040	-0.01		
3.31	-0.01	0.0110		0.0050	0.02		
3.32	-0.01	0.0310		0.0070	0		
3.33	0	0.0220		0.0050	0.01		
3.34	0.01	0.0020		-0.0010	-0.01		
3.35	0.02	-0.0120		0.0010	0.01		
3.36	-0.01	0.0020		0.0000	0.01		
3.37	0	-0.0060		0.0080	0.01		
3.38	0	-0.0020		0.0030	0.01		
3.39	0	0.0040		-0.0010	0		
3.40	0.01	-0.0050		0.0050	0		
3.41	0.01	-0.0100		0.0120	0.02		
3.42	-0.01	0.0120		0.0010	0.03		
3.43	0	0.0060		0.0090	0.03		
3.44	0	-0.0100		0.0110	0.02		
3.45	-0.01	0.0190		0.0100	0.02		
3.46	0	-0.0050		0.0040	-0.01		
3.47	0.01	0.0230		0.0070	0		
3.48	0	0.0180		0.0050	0		
3.49	0	-0.0020		0.0080	0.01		
3.50	0.01	-0.0080		0.0080	0		
3.51	0.01	0.0140		0.0070	0.01		
3.52	0.02	0.0110		0.0060	0		
3.53	0.01	-0.0080		0.0080	0.01		
3.54	0	0.0050		0.0060	0		
3.55	0.01	-0.0070		0.0040	0.01		
3.56	0.02	0.0160		0.0080	0		
3.57	0	0.0020		0.0080	0		
3.58	0	0.0060		0.0120	0.01		
3.59	0	-0.0080		0.0120	0.01		
3.60	-0.01	0.0110		0.0110	-0.01		
3.61	0.01	0.0090		0.0110	0.01		
3.62	0.01	0.0060		0.0050	0.01		
3.63	0.01	0.0120		0.0060	0		
3.64	0	0.0000		0.0050	0.01		
3.65	0.01	0.0000		0.0050	0		
3.66	0.03	0.0170		0.0040	0		
3.67	0	0.0340		0.0050	0.01		
3.68	0.02	0.0300		0.0030	0.01		
3.69	0	0.0170		0.0100	0.01		
3.70	0.01	0.0160		0.0040	0		
3.71	0	-0.0060		0.0090	-0.01		
3.72	0	-0.0020		0.0020	0		
3.73	0.02	-0.0040		0.0030	0		
