microns	reflection
0.819	0.996322531
0.82	0.99623873
0.821	0.996144499
0.822	0.996042589
0.823	0.995940083
0.824	0.995851611
0.825	0.995799591
0.826	0.995805442
0.827	0.995872147
0.828	0.995975153
0.829	0.996075675
0.83	0.996141401
0.831	0.996154211
0.832	0.996106142
0.833	0.995994047
0.834	0.995818369
0.835	0.995586703
0.836	0.995320403
0.837	0.995059393
0.838	0.994857352
0.839	0.994763634
0.84	0.994802094
0.841	0.994963607
0.842	0.995215355
0.843	0.995515614
0.844	0.995825179
0.845	0.996114158
0.846	0.996364799
0.847	0.99657088
0.848	0.996734808
0.849	0.996863743
0.85	0.996965644
0.851	0.997045977
0.852	0.997106097
0.853	0.997143827
0.854	0.997155528
0.855	0.997138188
0.856	0.997090457
0.857	0.997012198
0.858	0.996902618
0.859	0.99675759
0.86	0.996567396
0.861	0.996315862
0.862	0.995980765
0.863	0.995534907
0.864	0.994948284
0.865	0.994193993
0.866	0.993263205
0.867	0.992196112
0.868	0.991127992
0.869	0.990314971
0.87	0.990054503
0.871	0.990478899
0.872	0.991427329
0.873	0.992580535
0.874	0.99367895
0.875	0.994600759
0.876	0.995323594
0.877	0.995868694
0.878	0.99626615
0.879	0.99653916
0.88	0.996698677
0.881	0.996742544
0.882	0.996654689
0.883	0.996400288
0.884	0.995913037
0.885	0.995072623
0.886	0.99369527
0.887	0.991718435
0.888	0.990049126
0.889	0.990604532
0.89	0.992850259
0.891	0.994885747
0.892	0.996240013
0.893	0.997098942
0.894	0.99766081
0.895	0.998046407
0.896	0.998322153
0.897	0.998524504
0.898	0.998674692
0.899	0.998786237
0.9	0.998868371
0.901	0.998925497
0.902	0.998964913
0.903	0.998989807
0.904	0.999002505
0.905	0.999004739
0.906	0.99899773
0.907	0.998982074
0.908	0.998957536
0.909	0.99892294
0.91	0.998876211
0.911	0.998814423
0.912	0.998733686
0.913	0.998628768
0.914	0.998492445
0.915	0.998314492
0.916	0.998080173
0.917	0.997767982
0.918	0.9973462
0.919	0.99676755
0.92	0.995960657
0.921	0.994816758
0.922	0.993173629
0.923	0.990818838
0.924	0.987602931
0.925	0.983865321
0.926	0.981057114
0.927	0.980972238
0.928	0.983380251
0.929	0.986488285
0.93	0.989142436
0.931	0.991105951
0.932	0.992502574
0.933	0.9935077
0.934	0.994258159
0.935	0.994835709
0.936	0.995275075
0.937	0.995584693
0.938	0.995765882
0.939	0.995820698
0.94	0.99575103
0.941	0.995553192
0.942	0.995205382
0.943	0.994642318
0.944	0.993722055
0.945	0.992214704
0.946	0.98992255
0.947	0.987268107
0.948	0.986061871
0.949	0.98748962
0.95	0.989963828
0.951	0.992018094
0.952	0.99334673
0.953	0.994129286
0.954	0.994547831
0.955	0.994720655
0.956	0.994716007
0.957	0.994568637
0.958	0.994291175
0.959	0.993882629
0.96	0.993334807
0.961	0.992637348
0.962	0.99178313
0.963	0.990776227
0.964	0.989643517
0.965	0.988448185
0.966	0.987297841
0.967	0.986334525
0.968	0.985697558
0.969	0.985470554
0.97	0.985645564
0.971	0.986129583
0.972	0.986784742
0.973	0.987473739
0.974	0.988089186
0.975	0.988561251
0.976	0.988850518
0.977	0.988937185
0.978	0.98881417
0.979	0.988487095
0.98	0.987981557
0.981	0.987355528
0.982	0.986708869
0.983	0.986174729
0.984	0.985880876
0.985	0.985894836
0.986	0.986193543
0.987	0.986683017
0.988	0.987247139
0.989	0.987787346
0.99	0.988237877
0.991	0.98856311
